file,num_points,min_x,max_x,min_y,max_y,min_z,max_z,unique_classes
plot_09.las,312514,546168.7391,546272.4571,6449077.535,6449207.121,169.94,205.656,2
plot_08.las,268913,545698.9741,545810.9761,6449018.919,6449148.996,160.107,196.08,2
plot_05.las,105771,545667.5705,545794.4995,6449827.3675999995,6449944.4186,152.201,182.942,2
plot_10.las,314188,546540.9117,546642.0487,6449068.1807,6449196.6657,185.269,213.023,2
plot_04.las,251251,545983.3275,546072.2295,6449491.1586,6449616.7216,169.008,200.913,2
plot_06.las,297806,545518.6171,545633.4871,6449308.309,6449437.977,156.702,192.821,2
plot_07.las,312711,545727.5671,545841.5741,6449263.564,6449394.132,160.172,190.46200000000002,2
plot_03.las,301556,546575.218,546705.04,6450101.5113,6450210.2983,169.785,206.244,2
plot_02.las,355599,546902.78,547032.581,6449981.1433,6450086.1183,187.352,218.211,2
plot_01.las,218873,547065.222,547126.233,6450322.7043,6450433.2713,182.074,216.395,2
